CLASS,CLASS_CODE,NAME,SECTOR,RES_CNT,DWELL_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MALE_CNT,FEMALE_CNT,CLIENTS,Latitude,Longitude
Industrial,2,STONEY 4,NORTHEAST,0,4,0,2,0,0,0,0,0,0,0,51.1798808,-113.9844416
Residential,1,STRATHCONA PARK,WEST,6855,2446,2146,1943,224,0,0,273,3351,3491,2889,51.0478678,-114.1844789
Residential,1,SUNALTA,CENTRE,3239,2165,451,238,13,4,1684,88,1692,1532,2707,51.04293955,-114.10141345083386
Residential,1,SUNDANCE,SOUTH,9736,3424,2959,3067,74,0,100,152,4834,4885,4065,50.8977765,-114.0427229
Residential,1,SUNNYSIDE,CENTRE,4230,2626,780,493,44,17,1810,188,2057,2140,3067,51.0578696,-114.0787405
Industrial,2,SUNRIDGE,NORTHEAST,11,8,0,0,0,0,0,0,0,0,0,51.0750045,-113.9914787
Residential,1,TARADALE,NORTHEAST,19026,5272,3135,3310,212,0,390,438,9914,9088,10320,51.1167042,-113.9384638
Residential,1,TEMPLE,NORTHEAST,10977,3733,2460,2304,609,1,117,424,5597,5357,5348,51.0884242,-113.9478774
Residential,1,THORNCLIFFE,NORTH,8788,3831,2016,2049,373,1,332,815,4436,4326,4307,51.1060956,-114.069411
Residential,1,TUSCANY,NORTHWEST,19884,6672,5748,5612,109,6,523,403,9775,10061,10101,51.1253802,-114.2448425
Residential,1,TUXEDO PARK,CENTRE,5326,2782,1081,1033,501,35,640,264,2667,2641,3262,51.0737885,-114.0613483
Residential,1,UNIVERSITY DISTRICT,NORTHWEST,705,329,30,0,0,1,16,312,359,336,375,51.076781499999996,-114.14306251815394
Residential,1,UNIVERSITY HEIGHTS,NORTHWEST,2921,1378,378,429,43,0,874,12,1488,1427,1836,51.0707401,-114.1372308
Residential,1,UNIVERSITY OF CALGARY,NORTHWEST,2367,9,0,0,0,0,0,0,1131,1232,2363,51.07423285,-114.14628389910274
Residential,1,UPPER MOUNT ROYAL,CENTRE,2478,1070,668,794,10,0,235,13,1267,1202,1146,51.0293578,-114.0865186
Residential,1,VALLEY RIDGE,WEST,5585,1940,1742,1775,0,0,71,88,2756,2825,2380,51.094066,-114.2516268
Industrial,2,VALLEYFIELD,EAST,0,3,0,3,0,0,0,0,0,0,0,51.01189,-113.9987594
Residential,1,VARSITY,NORTHWEST,12874,5888,3418,2601,169,1,2137,894,6289,6557,5974,51.0909975,-114.1557593
Residential,1,VISTA HEIGHTS,NORTHEAST,2370,851,382,380,20,0,41,371,1185,1183,1102,51.0720023,-114.0147857
Residential,1,WALDEN,SOUTH,6228,2421,1744,1254,380,0,317,450,2986,3208,3540,50.8701211,-114.0262187
Residential,1,WEST HILLHURST,CENTRE,6447,3086,1631,1510,613,29,520,192,3188,3233,3465,51.0550433,-114.1151105
Residential,1,WEST SPRINGS,WEST,10758,3856,2960,2605,186,34,395,634,5274,5444,5407,51.0588216,-114.2042544
Residential,1,WESTGATE,WEST,3202,1343,874,918,50,0,141,187,1547,1648,1526,51.0453233,-114.160909
Industrial,2,WESTWINDS,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,51.1006917,-113.9718672
Residential,1,WHITEHORN,NORTHEAST,12019,3937,2501,2535,662,1,61,117,6216,5769,5945,51.0888075,-113.9700197
Residential,1,WILDWOOD,WEST,2709,1111,881,1026,18,0,48,0,1318,1376,1189,51.0545078,-114.1532294
Residential,1,WILLOW PARK,SOUTH,5328,2291,1712,1587,0,16,229,439,2660,2636,2325,50.9602925,-114.0546454
Residential,1,WINDSOR PARK,CENTRE,4584,2466,887,328,360,60,1528,92,2235,2337,2768,51.0061648,-114.0761867
Residential,1,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,3635,1803,877,831,383,6,127,202,1851,1748,1997,51.0723028,-114.0475875
Residential,1,WOLF WILLOW,SOUTH,0,21,0,13,5,0,0,3,0,0,0,50.8714464,-114.0014427
Residential,1,WOODBINE,SOUTH,8866,3372,2959,2930,82,0,0,342,4471,4373,3782,50.942554,-114.1288526
Residential,1,WOODLANDS,SOUTH,6002,2411,1666,1531,149,0,163,551,2943,3044,2508,50.9424353,-114.1093591
Residential,1,YORKVILLE,SOUTH,14,118,0,62,20,0,0,36,0,0,0,50.8705314,-114.0765231
